,Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards,Home Team Goals Scored,Away Team Goals Scored,Home Team Goals Conceeded,Away Team Goals Conceeded,year
2297,ATHLETIC,BARCELONA,2-3,1-2,8.8,5.4,7.9,43,57,4.0,3.0,8.0,1.0,3.0,22.0,85.0,7.0,17.0,10.0,2.0,0.0,0.0,4.0,9.0,13.0,0.0,4.0,18.0,90.0,9.0,9.0,6.0,1.0,0.0,0.0,2,3,3,2,2020
2298,LEVANTE,ATLETICO MADRID,1-1,1-1,4.7,6.6,6.5,36,64,3.0,4.0,7.0,0.0,1.0,9.0,77.0,5.0,40.0,10.0,1.0,0.0,0.0,6.0,6.0,14.0,2.0,8.0,26.0,83.0,11.0,7.0,10.0,3.0,0.0,0.0,1,1,1,1,2020
2299,SEVILLA FC,ELCHE,2-0,1-0,5.2,7.0,5.6,67,33,5.0,8.0,13.0,1.0,4.0,10.0,90.0,13.0,15.0,9.0,2.0,0.0,0.0,3.0,5.0,11.0,3.0,1.0,18.0,82.0,16.0,11.0,8.0,1.0,0.0,0.0,2,0,0,2,2020
2300,ALAVÉS,GETAFE,0-0,0-0,2.0,5.5,6.4,47,53,8.0,1.0,9.0,1.0,1.0,30.0,55.0,35.0,14.0,13.0,2.0,0.0,0.0,6.0,4.0,11.0,1.0,5.0,31.0,65.0,23.0,23.0,13.0,2.0,0.0,0.0,0,0,0,0,2020
2301,VALENCIA,HUESCA,1-1,1-0,4.4,5.6,7.0,48,52,2.0,2.0,5.0,1.0,4.0,22.0,77.0,16.0,28.0,14.0,0.0,0.0,0.0,9.0,4.0,17.0,4.0,4.0,24.0,83.0,20.0,18.0,20.0,1.0,0.0,0.0,1,1,1,1,2020
2302,ELCHE,REAL SOCIEDAD,0-3,0-0,6.1,4.7,7.9,40,60,2.0,2.0,5.0,1.0,2.0,15.0,76.0,13.0,45.0,11.0,3.0,0.0,0.0,7.0,7.0,27.0,13.0,11.0,29.0,86.0,21.0,11.0,12.0,1.0,0.0,0.0,0,3,3,0,2020
2303,REAL BETIS,REAL MADRID,2-3,2-1,8.7,5.1,6.8,46,54,5.0,5.0,15.0,5.0,8.0,18.0,82.0,12.0,12.0,9.0,5.0,0.0,1.0,7.0,4.0,11.0,1.0,3.0,24.0,86.0,12.0,10.0,10.0,2.0,0.0,0.0,2,3,3,2,2020
2304,OSASUNA,LEVANTE,1-3,1-1,5.9,4.5,6.7,40,60,4.0,4.0,8.0,1.0,3.0,19.0,62.0,22.0,16.0,15.0,2.0,0.0,0.0,5.0,5.0,11.0,1.0,7.0,25.0,72.0,23.0,14.0,16.0,0.0,0.0,0.0,1,3,3,1,2020
2305,EIBAR,ATHLETIC,1-2,0-1,5.3,5.3,6.5,49,51,6.0,1.0,7.0,0.0,5.0,30.0,63.0,35.0,23.0,15.0,1.0,0.0,0.0,3.0,5.0,9.0,1.0,4.0,25.0,63.0,44.0,22.0,12.0,0.0,0.0,0.0,1,2,2,1,2020
2306,ATLETICO MADRID,GRANADA,6-1,1-0,8.2,7.9,4.3,55,45,7.0,10.0,17.0,0.0,1.0,20.0,84.0,20.0,21.0,16.0,3.0,0.0,0.0,3.0,6.0,11.0,2.0,1.0,17.0,75.0,22.0,12.0,14.0,1.0,0.0,0.0,6,1,1,6,2020
